Ambient Temp,AVG CPU,AVG Core,AVG HDD,Weighted Temp,Demand,/dev/sda: HUH721212ALN600,/dev/sdb: HUH721212ALN600,/dev/sdc: SAMSUNG MZ7GE960HMHP-00005,/dev/sdd: SAMSUNG MZ7GE960HMHP-00005
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
21,35,30,34,34,2,32,33,41,39
